 -4.266666666666666E-003 NaN                    
 -4.199999999999999E-003 NaN                     -4.199999999999999E-003
 NaN                     -4.199999999999999E-003 NaN                    
 -4.199999999999999E-003 NaN                    
 -4.133333333333333E-003 NaN                     -4.133333333333333E-003
 NaN                     -4.133333333333333E-003 NaN                    
 -4.133333333333333E-003 NaN                    
 -4.066666666666665E-003 NaN                     -4.066666666666665E-003
 NaN                     -4.066666666666665E-003 NaN                    
 -4.066666666666665E-003 NaN                    
 -3.999999999999999E-003 NaN                     -3.999999999999999E-003
 NaN                     -3.999999999999999E-003 NaN                    
 -3.999999999999999E-003 NaN                    
 -3.933333333333332E-003 NaN                     -3.933333333333332E-003
 NaN                     -3.933333333333332E-003 NaN                    
 -3.933333333333332E-003 NaN                    
 -3.866666666666665E-003 NaN                     -3.866666666666665E-003
 NaN                     -3.866666666666665E-003 NaN                    
 -3.866666666666665E-003 NaN                    
 -3.799999999999999E-003 NaN                     -3.799999999999999E-003
 NaN                     -3.799999999999999E-003 NaN                    
 -3.799999999999999E-003 NaN                    
 -3.733333333333332E-003 NaN                     -3.733333333333332E-003
 NaN                     -3.733333333333332E-003 NaN                    
 -3.733333333333332E-003 NaN                    
 -3.666666666666666E-003 NaN                     -3.666666666666666E-003
 NaN                     -3.666666666666666E-003 NaN                    
 -3.666666666666666E-003 NaN                    
 -3.599999999999999E-003 NaN                     -3.599999999999999E-003
 NaN                     -3.599999999999999E-003 NaN                    
 -3.599999999999999E-003 NaN                    
 -3.533333333333332E-003 NaN                     -3.533333333333332E-003
 NaN                     -3.533333333333332E-003 NaN                    
 -3.533333333333332E-003 NaN                    
 -3.466666666666666E-003 NaN                     -3.466666666666666E-003
 NaN                     -3.466666666666666E-003 NaN                    
 -3.466666666666666E-003 NaN                    
 -3.399999999999999E-003 NaN                     -3.399999999999999E-003
 NaN                     -3.399999999999999E-003 NaN                    
 -3.399999999999999E-003 NaN                    
 -3.333333333333332E-003 NaN                     -3.333333333333332E-003
 NaN                     -3.333333333333332E-003 NaN                    
 -3.333333333333332E-003 NaN                    
 -3.266666666666666E-003 NaN                     -3.266666666666666E-003
 NaN                     -3.266666666666666E-003 NaN                    
 -3.266666666666666E-003 NaN                    
 -3.199999999999999E-003 NaN                     -3.199999999999999E-003
 NaN                     -3.199999999999999E-003 NaN                    
 -3.199999999999999E-003 NaN                    
 -3.133333333333332E-003 NaN                     -3.133333333333332E-003
 NaN                     -3.133333333333332E-003 NaN                    
 -3.133333333333332E-003 NaN                    
 -3.066666666666665E-003 NaN                     -3.066666666666665E-003
 NaN                     -3.066666666666665E-003 NaN                    
 -3.066666666666665E-003 NaN                    
 -2.999999999999999E-003 NaN                     -2.999999999999999E-003
 NaN                     -2.999999999999999E-003 NaN                    
 -2.999999999999999E-003 NaN                    
 -2.933333333333332E-003 NaN                     -2.933333333333332E-003
 NaN                     -2.933333333333332E-003 NaN                    
 -2.933333333333332E-003 NaN                    
 -2.866666666666665E-003 NaN                     -2.866666666666665E-003
 NaN                     -2.866666666666665E-003 NaN                    
 -2.866666666666665E-003 NaN                    
 -2.799999999999999E-003 NaN                     -2.799999999999999E-003
 NaN                     -2.799999999999999E-003 NaN                    
 -2.799999999999999E-003 NaN                    
 -2.733333333333332E-003 NaN                     -2.733333333333332E-003
 NaN                     -2.733333333333332E-003 NaN                    
 -2.733333333333332E-003 NaN                    
 -2.666666666666666E-003 NaN                     -2.666666666666666E-003
 NaN                     -2.666666666666666E-003 NaN                    
 -2.666666666666666E-003 NaN                    
 -2.599999999999999E-003 NaN                     -2.599999999999999E-003
 NaN                     -2.599999999999999E-003 NaN                    
 -2.599999999999999E-003 NaN                    
 -2.533333333333332E-003 NaN                     -2.533333333333332E-003
 NaN                     -2.533333333333332E-003 NaN                    
 -2.533333333333332E-003 NaN                    
 -2.466666666666666E-003 NaN                     -2.466666666666666E-003
 NaN                     -2.466666666666666E-003 NaN                    
 -2.466666666666666E-003 NaN                    
 -2.399999999999999E-003 NaN                     -2.399999999999999E-003
 NaN                     -2.399999999999999E-003 NaN                    
 -2.399999999999999E-003 NaN                    
 -2.333333333333332E-003 NaN                     -2.333333333333332E-003
 NaN                     -2.333333333333332E-003 NaN                    
 -2.333333333333332E-003 NaN                    
 -2.266666666666666E-003 NaN                     -2.266666666666666E-003
 NaN                     -2.266666666666666E-003 NaN                    
